nom,module,categorie,defaut,source,juin,doute,min,max,pas,unite,surface,regle-proposee,note-agent,verdict,commentaire
SentenceProfileCommand.OverheadPairs,Deckle.Autocorrect.Probe,tuning-constant,5,src/Deckle.Autocorrect.Probe/SentenceProfileCommand.cs:9,non,,,,,count,aucune,5-playground,"Overhead-measurement pair count, probe-only.",,
SentenceProfileFixture.CandidateCounts,Deckle.Autocorrect.Probe,tuning-constant,"[2, 4, 8, 13]",src/Deckle.Autocorrect.Probe/SentenceProfileFixture.cs:7,non,,,,,count,aucune,5-playground,Candidate-count grid for the profiling fixture.,,
SentenceProfileFixture.Seed,Deckle.Autocorrect.Probe,tuning-constant,20260730,src/Deckle.Autocorrect.Probe/SentenceProfileFixture.cs:5,non,,,,,,aucune,5-playground,Reproducibility seed for the profiling fixture.,,
SentenceProfileFixture.Transaction,Deckle.Autocorrect.Probe,tuning-constant,CreateTransaction(),src/Deckle.Autocorrect.Probe/SentenceProfileFixture.cs:9,non,"Static fixture object built by CreateTransaction(), not a scalar value; the sweep read it as a default. Kept as the experiment input.",,,,,aucune,5-playground,"Static fixture object serving as the experiment input, not a scalar knob.",,
SentenceUnanimityBundleCommand.MeasuredEvaluationCount,Deckle.Autocorrect.Probe,tuning-constant,10_000,src/Deckle.Autocorrect.Probe/SentenceUnanimityBundleCommand.cs:11,non,,,,,count,aucune,5-playground,Evaluation count of the unanimity measurement protocol.,,
SentenceUnanimityBundleCommand.Seed,Deckle.Autocorrect.Probe,tuning-constant,20260730,src/Deckle.Autocorrect.Probe/SentenceUnanimityBundleCommand.cs:9,non,,,,,,aucune,5-playground,Reproducibility seed for the unanimity bundle run.,,
SentenceUnanimityBundleCommand.WarmP95ReferenceMilliseconds,Deckle.Autocorrect.Probe,tuning-constant,1.0,src/Deckle.Autocorrect.Probe/SentenceUnanimityBundleCommand.cs:12,non,,,,,ms,aucune,5-playground,Warm-latency reference judging the probe run.,,
SentenceUnanimityBundleCommand.WarmupEvaluationCount,Deckle.Autocorrect.Probe,tuning-constant,1_000,src/Deckle.Autocorrect.Probe/SentenceUnanimityBundleCommand.cs:10,non,,,,,count,aucune,5-playground,Warmup count of the measurement protocol.,,
StaleWorkProbeCommand.StaleHoldMilliseconds,Deckle.Autocorrect.Probe,tuning-constant,250,src/Deckle.Autocorrect.Probe/StaleWorkProbeCommand.cs:14,non,,,,,ms,aucune,5-playground,Hold duration used only inside the stale-work probe scenario.,,
SettingsModuleDescriptor.LabelKey,Deckle.Catalog,default,"""SettingsModuleNavLabel""",src/Deckle.Catalog/SettingsModuleDescriptor.cs:61,non,Sweep called it persisted-setting; it is an authoring default on a declaration record. Perceivable only through the nav label a module inherits.,,,,,aucune,1-robustesse,"Authoring default on a declaration record, an internal infrastructure constant frozen by design, not a user-varying knob.",,
SettingsModuleDescriptor.Tier,Deckle.Catalog,default,SettingsNavTier.Main,src/Deckle.Catalog/SettingsModuleDescriptor.cs:71,non,"Same misread. Decides which nav band an unqualified module lands in — visible in the rail, but authored per module, not by the user.",,,,,aucune,1-robustesse,"Per-module authoring default deciding the nav band; structural and module-authored, frozen for users.",,
ArcDirection,Deckle.Composition,default-value,`1f`,src/Deckle.Composition/Core/HudComposition.Config.cs:187,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,,,,sign (±1),playground,2-qualite,"HUD arc animation direction, Playground-mirrored tuning default.",,
ArcEaseP1X,Deckle.Composition,default-value,`0.125f`,src/Deckle.Composition/Core/HudComposition.Config.cs:191,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,1,0.05,ratio,playground,2-qualite,"Bezier easing control point for arc animation, pure animation tuning.",,
ArcEaseP1Y,Deckle.Composition,default-value,`0.375f`,src/Deckle.Composition/Core/HudComposition.Config.cs:192,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,-0.5,1.5,0.05,ratio,playground,2-qualite,"Bezier easing control point for arc animation, pure animation tuning.",,
ArcEaseP2X,Deckle.Composition,default-value,`0.875f`,src/Deckle.Composition/Core/HudComposition.Config.cs:193,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,1,0.05,ratio,playground,2-qualite,"Bezier easing control point for arc animation, pure animation tuning.",,
ArcEaseP2Y,Deckle.Composition,default-value,`0.625f`,src/Deckle.Composition/Core/HudComposition.Config.cs:194,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,-0.5,1.5,0.05,ratio,playground,2-qualite,"Bezier easing control point for arc animation, pure animation tuning.",,
ArcMinSpeedFraction,Deckle.Composition,default-value,`0f`,src/Deckle.Composition/Core/HudComposition.Config.cs:195,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,1,0.05,ratio,playground,2-qualite,"Arc animation speed floor, animation tuning living in Playground.",,
ArcMirror,Deckle.Composition,default-value,`true`,src/Deckle.Composition/Core/HudComposition.Config.cs:181,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,,,,,playground,2-qualite,"Arc mirroring toggle, aesthetic animation tuning in Playground.",,
ArcPeriodSeconds,Deckle.Composition,default-value,`8.0`,src/Deckle.Composition/Core/HudComposition.Config.cs:186,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0.5,30,0.5,s,playground,2-qualite,"Arc rotation period, animation cadence tuning in Playground.",,
ArcPhaseTurns,Deckle.Composition,default-value,`0f`,src/Deckle.Composition/Core/HudComposition.Config.cs:188,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,1,0.05,turns,playground,2-qualite,"Arc phase offset, animation tuning in Playground.",,
CloneArcDirection,Deckle.Composition,default-value,`-1f`,src/Deckle.Composition/Core/HudComposition.Config.cs:241,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,,,,sign (±1),playground,2-qualite,"Clone arc direction, animation tuning in Playground.",,
CloneArcPeriodSeconds,Deckle.Composition,default-value,`4.0`,src/Deckle.Composition/Core/HudComposition.Config.cs:240,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0.5,30,0.5,s,playground,2-qualite,"Clone arc period, animation cadence tuning in Playground.",,
CloneCentreXFraction,Deckle.Composition,default-value,`196f / 272f (= 0.7206f)`,src/Deckle.Composition/Core/HudComposition.Config.cs:214,non,"ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting \| computed literal expression, sweep kept it verbatim",0,272 (NakedHudSize.X),2,"px (slider), stored as fraction",playground,2-qualite,"Clone arc centre position, visual composition tuning in Playground.",,
CloneCentreYFraction,Deckle.Composition,default-value,`0f`,src/Deckle.Composition/Core/HudComposition.Config.cs:215,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,78 (NakedHudSize.Y),2,"px (slider), stored as fraction",playground,2-qualite,"Clone arc centre position, visual composition tuning in Playground.",,
CloneHueDirection,Deckle.Composition,default-value,`-1f`,src/Deckle.Composition/Core/HudComposition.Config.cs:239,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,,,,sign (±1),playground,2-qualite,"Clone hue rotation direction, color animation tuning in Playground.",,
CloneHuePeriodSeconds,Deckle.Composition,default-value,`7.0`,src/Deckle.Composition/Core/HudComposition.Config.cs:238,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,60,0.5,s,playground,2-qualite,"Clone hue cycle period, color animation tuning in Playground.",,
CloneOklchChroma,Deckle.Composition,default-value,`0.3f`,src/Deckle.Composition/Core/HudComposition.Config.cs:226,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,0.4,0.05,ratio,playground,2-qualite,"Clone OKLCH chroma calibration, color tuning in Playground.",,
CloneOklchLightness,Deckle.Composition,default-value,`0.9f`,src/Deckle.Composition/Core/HudComposition.Config.cs:225,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,1,0.05,ratio,playground,2-qualite,"Clone OKLCH lightness calibration, color tuning in Playground.",,
ConicFadeCurve,Deckle.Composition,default-value,`4f`,src/Deckle.Composition/Core/HudComposition.Config.cs:180,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0.5,10,0.1,exponent,playground,2-qualite,"Fade curve exponent, exactly the non-explainable-in-one-sentence kind of knob; quality tuning in Playground.",,
ConicLeadFadeTurns,Deckle.Composition,default-value,`1f`,src/Deckle.Composition/Core/HudComposition.Config.cs:178,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,1,0.05,turns,playground,2-qualite,"Conic gradient lead fade span, visual tuning in Playground.",,
ConicSpanTurns,Deckle.Composition,default-value,`0.5f`,src/Deckle.Composition/Core/HudComposition.Config.cs:177,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0.05,1.0,0.05,turns,playground,2-qualite,"Conic arc angular span, visual tuning in Playground.",,
ConicTailFadeTurns,Deckle.Composition,default-value,`1f`,src/Deckle.Composition/Core/HudComposition.Config.cs:179,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,1,0.05,turns,playground,2-qualite,"Conic gradient tail fade span, visual tuning in Playground.",,
CornerRadiusDip,Deckle.Composition,tuning-constant,`8f`,src/Deckle.Composition/Core/HudComposition.cs:60,non,"private const HUD stroke geometry; no UI, no Playground mirror",,,,dip,aucune,2-qualite,"Frozen HUD stroke geometry constant with no Playground mirror; design-quality value, frozen.",,
HueDirection,Deckle.Composition,default-value,`1f`,src/Deckle.Composition/Core/HudComposition.Config.cs:155,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,,,,sign (±1),playground,2-qualite,"Hue rotation direction, color animation tuning in Playground.",,
HueEaseP1X,Deckle.Composition,default-value,`0.125f`,src/Deckle.Composition/Core/HudComposition.Config.cs:166,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,1,0.05,ratio,playground,2-qualite,"Bezier easing control point for hue animation, animation tuning in Playground.",,
HueEaseP1Y,Deckle.Composition,default-value,`0.375f`,src/Deckle.Composition/Core/HudComposition.Config.cs:167,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,-0.5,1.5,0.05,ratio,playground,2-qualite,"Bezier easing control point for hue animation, animation tuning in Playground.",,
HueEaseP2X,Deckle.Composition,default-value,`0.875f`,src/Deckle.Composition/Core/HudComposition.Config.cs:168,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,1,0.05,ratio,playground,2-qualite,"Bezier easing control point for hue animation, animation tuning in Playground.",,
HueEaseP2Y,Deckle.Composition,default-value,`0.625f`,src/Deckle.Composition/Core/HudComposition.Config.cs:169,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,-0.5,1.5,0.05,ratio,playground,2-qualite,"Bezier easing control point for hue animation, animation tuning in Playground.",,
HueMinSpeedFraction,Deckle.Composition,default-value,`0f`,src/Deckle.Composition/Core/HudComposition.Config.cs:174,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,1,0.05,ratio,playground,2-qualite,"Hue animation speed floor, animation tuning in Playground.",,
HuePeriodSeconds,Deckle.Composition,default-value,`14.0`,src/Deckle.Composition/Core/HudComposition.Config.cs:154,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,60,0.5,s,playground,2-qualite,"Hue cycle period, color animation tuning in Playground.",,
HuePhaseTurns,Deckle.Composition,default-value,`0f`,src/Deckle.Composition/Core/HudComposition.Config.cs:156,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,1,0.05,turns,playground,2-qualite,"Hue phase offset, color animation tuning in Playground.",,
HueRange,Deckle.Composition,default-value,`1f`,src/Deckle.Composition/Core/HudComposition.Config.cs:149,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,1,0.05,turns,playground,2-qualite,"Hue sweep range, color tuning in Playground.",,
HueStart,Deckle.Composition,default-value,`0f`,src/Deckle.Composition/Core/HudComposition.Config.cs:148,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,1,0.05,turns,playground,2-qualite,"Hue start point, color tuning in Playground; not a user style choice but a calibrated palette parameter.",,
InsetDip,Deckle.Composition,playground-parameter,`-2f`,src/Deckle.Composition/Core/HudComposition.cs:59,non,"public static mutable field, tuned live by HudPlayground (not const) — value -2f",-16,4,0.5,dip,playground,2-qualite,"Live Playground-tuned HUD stroke inset; quality geometry tuning that ships in the HUD, so quality rather than pure Playground staging.",,
OklchChroma,Deckle.Composition,default-value,`0.3f`,src/Deckle.Composition/Core/HudComposition.Config.cs:147,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,0.4,0.05,ratio,playground,2-qualite,"OKLCH chroma calibration, color tuning in Playground.",,
OklchLightness,Deckle.Composition,default-value,`0.75f`,src/Deckle.Composition/Core/HudComposition.Config.cs:146,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,1,0.05,ratio,playground,2-qualite,"OKLCH lightness calibration, color tuning in Playground.",,
RecordingArcMirror,Deckle.Composition,default-value,`true`,src/Deckle.Composition/Core/HudComposition.Config.cs:296,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,,,,,playground,2-qualite,"Recording-state arc mirroring, per-state animation tuning in Playground.",,
RecordingArcPhaseTurns,Deckle.Composition,default-value,`0f`,src/Deckle.Composition/Core/HudComposition.Config.cs:297,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,1,0.05,turns,playground,2-qualite,"Recording-state arc phase, animation tuning in Playground.",,
RecordingBlendSeconds,Deckle.Composition,default-value,`2 (double 2.0)`,src/Deckle.Composition/Core/HudComposition.Config.cs:303,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,5,0.1,s,playground,2-qualite,"Recording-state transition blend duration, animation tuning in Playground.",,
RecordingConicFadeCurve,Deckle.Composition,default-value,`2f`,src/Deckle.Composition/Core/HudComposition.Config.cs:295,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0.5,10,0.1,exponent,playground,2-qualite,"Recording-state fade curve exponent, animation tuning in Playground.",,
RecordingConicLeadFadeTurns,Deckle.Composition,default-value,`1f`,src/Deckle.Composition/Core/HudComposition.Config.cs:293,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,1,0.05,turns,playground,2-qualite,"Recording-state lead fade span, visual tuning in Playground.",,
RecordingConicSpanTurns,Deckle.Composition,default-value,`0.5f`,src/Deckle.Composition/Core/HudComposition.Config.cs:292,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0.05,1,0.05,turns,playground,2-qualite,"Recording-state arc span, visual tuning in Playground.",,
RecordingConicTailFadeTurns,Deckle.Composition,default-value,`1f`,src/Deckle.Composition/Core/HudComposition.Config.cs:294,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,1,0.05,turns,playground,2-qualite,"Recording-state tail fade span, visual tuning in Playground.",,
RecordingExposureDark,Deckle.Composition,default-value,`0.7f`,src/Deckle.Composition/Core/HudComposition.Config.cs:301,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,-2,2,0.1,EV,playground,2-qualite,"Recording-state exposure calibration for dark theme, color tuning in Playground.",,
RecordingExposureLight,Deckle.Composition,default-value,`-1.2f`,src/Deckle.Composition/Core/HudComposition.Config.cs:302,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,-2,2,0.1,EV,playground,2-qualite,"Recording-state exposure calibration for light theme, color tuning in Playground.",,
RecordingHuePeriodSeconds,Deckle.Composition,default-value,`0`,src/Deckle.Composition/Core/HudComposition.Config.cs:313,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,60,0.5,s,playground,2-qualite,"Recording-state hue cycle period, color animation tuning in Playground.",,
RecordingHueShiftTurns,Deckle.Composition,default-value,`0f`,src/Deckle.Composition/Core/HudComposition.Config.cs:300,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,1,0.05,turns,playground,2-qualite,"Recording-state hue shift, color tuning in Playground.",,
RecordingSaturationDark,Deckle.Composition,default-value,`0f`,src/Deckle.Composition/Core/HudComposition.Config.cs:298,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,1,0.05,ratio,playground,2-qualite,"Recording-state saturation for dark theme, color tuning in Playground.",,
RecordingSaturationLight,Deckle.Composition,default-value,`0f`,src/Deckle.Composition/Core/HudComposition.Config.cs:299,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,1,0.05,ratio,playground,2-qualite,"Recording-state saturation for light theme, color tuning in Playground.",,
RewritingBlendSeconds,Deckle.Composition,default-value,`2 (double 2.0)`,src/Deckle.Composition/Core/HudComposition.Config.cs:249,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,5,0.1,s,playground,2-qualite,"Rewriting-state transition blend duration, animation tuning in Playground.",,
RewritingExposure,Deckle.Composition,default-value,`0f`,src/Deckle.Composition/Core/HudComposition.Config.cs:247,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,-2,2,0.1,EV,playground,2-qualite,"Rewriting-state exposure calibration, color tuning in Playground.",,
RewritingHueShiftTurns,Deckle.Composition,default-value,`0f`,src/Deckle.Composition/Core/HudComposition.Config.cs:246,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,1,0.05,turns,playground,2-qualite,"Rewriting-state hue shift, color tuning in Playground.",,
RewritingOpacity,Deckle.Composition,default-value,`1f`,src/Deckle.Composition/Core/HudComposition.Config.cs:248,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,1,0.05,ratio,playground,2-qualite,"Rewriting-state opacity, visual tuning in Playground.",,
RewritingSaturation,Deckle.Composition,default-value,`1f`,src/Deckle.Composition/Core/HudComposition.Config.cs:245,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,1,0.05,ratio,playground,2-qualite,"Rewriting-state saturation, color tuning in Playground.",,
StrokeThickness,Deckle.Composition,tuning-constant,`4f`,src/Deckle.Composition/Core/HudComposition.cs:52,non,"private const HUD stroke geometry; no UI, no Playground mirror",,,,dip,aucune,2-qualite,"Frozen HUD stroke thickness constant with no Playground mirror; design-quality value, frozen.",,
TranscribingBlendSeconds,Deckle.Composition,default-value,`2 (double 2.0)`,src/Deckle.Composition/Core/HudComposition.Config.cs:264,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,5,0.1,s,playground,2-qualite,"Transcribing-state transition blend duration, animation tuning in Playground.",,
TranscribingExposureDark,Deckle.Composition,default-value,`0.7f`,src/Deckle.Composition/Core/HudComposition.Config.cs:261,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,-2,2,0.1,EV,playground,2-qualite,"Transcribing-state exposure for dark theme, color tuning in Playground.",,
TranscribingExposureLight,Deckle.Composition,default-value,`-1.2f`,src/Deckle.Composition/Core/HudComposition.Config.cs:262,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,-2,2,0.1,EV,playground,2-qualite,"Transcribing-state exposure for light theme, color tuning in Playground.",,
TranscribingHueShiftTurns,Deckle.Composition,default-value,`0f`,src/Deckle.Composition/Core/HudComposition.Config.cs:260,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,1,0.05,turns,playground,2-qualite,"Transcribing-state hue shift, color tuning in Playground.",,
TranscribingOpacity,Deckle.Composition,default-value,`1f`,src/Deckle.Composition/Core/HudComposition.Config.cs:263,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,1,0.05,ratio,playground,2-qualite,"Transcribing-state opacity, visual tuning in Playground.",,
TranscribingSaturationDark,Deckle.Composition,default-value,`0f`,src/Deckle.Composition/Core/HudComposition.Config.cs:258,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,1,0.05,ratio,playground,2-qualite,"Transcribing-state saturation for dark theme, color tuning in Playground.",,
TranscribingSaturationLight,Deckle.Composition,default-value,`0f`,src/Deckle.Composition/Core/HudComposition.Config.cs:259,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,0,1,0.05,ratio,playground,2-qualite,"Transcribing-state saturation for light theme, color tuning in Playground.",,
WedgeCount,Deckle.Composition,default-value,`360`,src/Deckle.Composition/Core/HudComposition.Config.cs:150,non,ConicArcStrokeConfig default; mirrored in Deckle.Playground/Models/TuningModel.cs — dedupe by name before counting,16,720,1,count,playground,2-qualite,"Conic gradient tessellation resolution, rendering quality tuning in Playground.",,
AppFolderName,Deckle.Core,tuning-constant,"""Deckle""",src/Deckle.Core/Paths/AppPaths.cs:36,non,"Identity constant: names %LOCALAPPDATA%\Deckle and seeds the settings mutex name. Not exposable as a setting, but it is the single source of truth for the data root.",,,,,aucune,1-robustesse,"Identity constant seeding the data root and mutex name; structural, frozen by default.",,
BufferSize,Deckle.Core,tuning-constant,81920,src/Deckle.Core/Io/Downloader.cs:39,non,Pure implementation constant (Stream.CopyToAsync default). Kept only because of the in-doubt rule; nothing user-perceivable.,,,,bytes,aucune,1-robustesse,"Internal I/O buffer size, textbook robustness constant.",,
DataRootEnvVar,Deckle.Core,tuning-constant,"""DECKLE_DATA_ROOT""",src/Deckle.Core/Paths/AppPaths.cs:45,non,"Env-var name allowing relocation of the whole user data root. Acts as an out-of-band setting (dev override); no UI, probably should stay env-only.",,,,,aucune,1-robustesse,"Env-var name for a dev-only data-root override; infrastructure plumbing, stays env-only, not a Settings candidate.",,
DownloaderHttpTimeout,Deckle.Core,tuning-constant,Timeout.InfiniteTimeSpan,src/Deckle.Core/Io/Downloader.cs:157,non,"Missed by the sweep (assignment, not a declaration). Deliberate override of the 100 s HttpClient default for multi-GB model downloads; cancellation is the escape hatch. Deliberately frozen.",,,,,aucune,1-robustesse,Deliberately frozen HTTP timeout override for large downloads; pure robustness bound.,,
ProgressReportThrottleMs,Deckle.Core,tuning-constant,200,src/Deckle.Core/Io/Downloader.cs:48,non,"Perceptible: governs download progress-bar smoothness (~5 updates/s). Perf-motivated, likely frozen, but user-visible in effect.",,,,ms,aucune,1-robustesse,"Internal reporting cadence; visible as progress-bar smoothness but a perf throttle, frozen.",,
SC_LEFT_OF_ONE,Deckle.Core,tuning-constant,0x29,src/Deckle.Core/Interop/NativeMethods.cs:29,non,Scancode of the key left of '1' — the physical key bound to the transcription hotkey. User-perceivable (which key triggers Deckle) but frozen in interop code; hotkey rebinding would live here or above. Kept as a borderline exposable.,,,,,aucune,3-personnalisation,"The physical key bound to the transcription hotkey; hotkeys are canonical personalization, this frozen scancode is where rebinding would live.",,
SettingsMutexName,Deckle.Core,tuning-constant,"$""{AppFolderName}-Settings-Save""",src/Deckle.Core/Paths/AppPaths.cs:41,non,"Missed by the sweep (interpolated const excluded). Cross-process write serialization name; infrastructure, not user-facing.",,,,,aucune,1-robustesse,"Cross-process mutex name, pure infrastructure.",,
SettingsMutexWaitTimeout,Deckle.Core,tuning-constant,TimeSpan.FromSeconds(2),src/Deckle.Core/JsonSettingsStore.cs:198,non,Missed by the sweep (inline expression). How long a save waits for the cross-process mutex before giving up — a settings write can be silently skipped past it. Worth naming.,,,,s,aucune,1-robustesse,"Mutex wait bound on settings saves, explicit robustness timeout.",,
SettingsSaveDebounceMs,Deckle.Core,tuning-constant,300,src/Deckle.Core/JsonSettingsStore.cs:162,non,"Missed by the sweep (inline literal, no named const). Delay between Save() and the actual disk write for every settings.json in the app — governs how fast a UI change reaches disk.",,,,ms,aucune,1-robustesse,"Save debounce between Save() and disk write, a classic internal debounce.",,
JsonlSink.DefaultQueueCapacity,Deckle.Diagnostics,tuning-constant,1024,src/Deckle.Diagnostics/Sinks/JsonlSink.cs:16,non,"Verified. Bounded write queue; overflow drops events. Implementation detail, but it silently governs log completeness under load — kept per in-doubt rule.",,,,count,aucune,1-robustesse,"Bounded internal write-queue size protecting the sink under load; a robustness buffer, frozen by default.",,
LogWindowSink.BufferCapacity,Deckle.Diagnostics,tuning-constant,5000,src/Deckle.Diagnostics/Sinks/LogWindowSink.cs:24,non,"Verified. Ring-buffer depth of the in-app log window — user-perceivable (how much history the log viewer can show). Closest thing to a real exposable in this module; still private const, no UI.",,,,count,aucune,4-diagnostics,"Ring-buffer depth of the in-app log viewer is log-history retention, an observability concern for the Diagnostics page.",,
"OperationalLogActivity (Ambient, Transcription, Autocorrect, Input, Windowing)",Deckle.Diagnostics,default-value,5-member enum; admission fails closed until Logging injects its reader,src/Deckle.Diagnostics/OperationalLogAdmission.cs:8-38,oui,"Added from June inventory (Diagnostics page: logging toggles by subsystem). Sweep missed it — an enum, not an initialized member. This module owns the closed vocabulary of the toggles; the persisted values live in Deckle.Diagnostics.Logging. Not itself a value, but the definitive list of what the logging toggles can be.",,,,,aucune,4-diagnostics,Closed vocabulary defining the per-subsystem logging toggles surfaced on the Diagnostics page.,,
RoutedJsonlSink.DefaultMaxOpenFiles,Deckle.Diagnostics,tuning-constant,16,src/Deckle.Diagnostics/Sinks/RoutedJsonlSink.cs:13,non,"Verified. LRU cap on concurrently open log files. Pure implementation; kept only because it bounds a resource, not because it tunes anything the user sees.",,,,count,aucune,1-robustesse,LRU cap bounding a file-handle resource; pure internal robustness bound.,,
RoutedJsonlSink.DefaultQueueCapacity,Deckle.Diagnostics,tuning-constant,1024,src/Deckle.Diagnostics/Sinks/RoutedJsonlSink.cs:12,non,Verified. Same rationale as JsonlSink; duplicate knob at a second declaration site.,,,,count,aucune,1-robustesse,"Same bounded write-queue robustness buffer as JsonlSink, duplicated at a second declaration site.",,
